T1: 1(0.98), 3(0.86), 5(0.92), 7(0.82), 9(0.93), 11(0.94), 13(0.85), 15(0.94), 17(0.94), 19(0.99), 21(0.9), 23(0.94), 25(0.83), 27(0.95), 29(0.89), 31(0.85), 34(0.82), 36(0.84), 38(0.96), 40(0.89), 42(0.89), 44(0.91), 46(0.91), 48(0.82), 50(0.98), 52(0.99), 54(0.9), 56(0.97), 58(0.88), 60(0.81), 62(0.88), 64(0.99), 66(0.9), 68(0.88), 70(0.93), 72(0.82), 74(1.0)
T2297: 1(0.89), 3(0.94), 5(0.93), 7(0.9), 9(0.95), 11(0.96), 14(0.98), 15(0.95), 17(0.87), 19(0.94), 21(0.99), 23(0.83), 25(0.91), 27(0.95), 29(0.97), 31(0.92), 34(0.96), 36(0.82), 39(0.98), 40(0.84), 42(0.95), 45(0.91), 46(0.81), 48(0.85), 50(0.91), 52(0.81), 54(0.83), 56(0.89), 58(0.95), 60(0.85), 63(0.86), 64(0.89), 66(0.97), 69(0.86), 71(0.82), 72(0.94), 75(0.9)
T2298: 1(0.85), 3(0.87), 5(0.98), 7(0.97), 10(0.97), 12(0.81), 14(0.97), 15(0.81), 17(0.99), 19(0.88), 21(0.97), 23(0.83), 25(0.96), 27(0.9), 29(0.93), 31(0.92), 34(0.87), 36(0.92), 39(0.96), 40(0.86), 42(0.95), 45(0.89), 46(0.9), 48(0.87), 50(0.84), 52(0.84), 54(0.85), 57(0.95), 58(0.86), 60(0.93), 63(0.82), 64(0.94), 66(0.89), 69(0.86), 71(0.93), 72(0.86), 75(0.86)
T2299: 1(0.8), 3(0.88), 5(0.91), 7(0.87), 10(0.84), 11(0.95), 14(0.84), 15(0.85), 17(0.9), 19(0.89), 21(0.95), 23(0.81), 25(0.84), 27(0.94), 29(0.8), 31(0.97), 34(0.88), 36(0.84), 39(0.97), 40(0.8), 42(0.81), 45(0.96), 46(0.93), 48(0.87), 50(1.0), 52(0.87), 54(0.82), 56(0.94), 58(0.89), 60(0.83), 62(0.83), 64(0.96), 66(0.96), 68(0.84), 71(0.99), 72(0.85), 75(0.84)
T2300: 1(0.86), 3(0.86), 5(0.96), 7(0.9), 9(0.97), 11(0.89), 14(0.9), 15(0.82), 17(0.95), 20(0.84), 21(0.87), 23(1.0), 25(1.0), 27(0.9), 29(0.99), 31(0.9), 34(0.96), 36(0.96), 39(0.84), 40(0.96), 42(0.96), 45(0.86), 47(0.84), 48(0.95), 50(0.88), 52(1.0), 54(0.81), 56(0.96), 58(0.83), 60(0.86), 62(0.93), 64(0.94), 66(0.9), 69(0.97), 70(0.93), 72(0.97), 75(0.96)
T2301: 1(0.89), 3(0.99), 5(0.94), 7(0.87), 9(0.93), 11(0.84), 13(0.99), 15(0.9), 17(0.92), 20(0.93), 21(0.94), 23(0.99), 25(0.94), 27(0.96), 29(0.85), 31(0.82), 34(0.84), 36(0.83), 38(0.87), 40(0.83), 42(0.97), 45(0.86), 47(0.91), 48(0.95), 51(0.89), 52(0.99), 55(0.97), 56(0.89), 58(0.87), 60(0.84), 62(0.87), 64(0.93), 66(1.0), 69(0.82), 70(0.92), 72(0.88), 75(0.92)
T2302: 1(0.9), 3(0.93), 5(0.83), 7(0.82), 9(0.98), 11(0.86), 13(0.97), 15(0.81), 17(0.82), 20(0.82), 21(0.83), 23(0.84), 25(0.87), 27(0.88), 29(0.82), 31(0.87), 34(0.98), 36(0.96), 38(0.95), 40(0.83), 42(1.0), 45(0.93), 47(0.83), 48(0.97), 50(0.81), 52(0.89), 55(0.85), 56(0.88), 58(0.93), 60(0.88), 62(0.94), 64(0.87), 66(0.91), 69(0.86), 70(0.86), 72(0.99), 75(0.92)
T2303: 1(0.89), 3(0.95), 5(0.9), 7(0.95), 9(0.96), 11(0.99), 13(0.96), 15(0.91), 17(0.87), 19(0.83), 21(0.91), 23(0.87), 25(0.95), 27(0.92), 29(1.0), 31(0.85), 34(0.93), 36(0.89), 39(0.96), 40(0.94), 42(0.91), 45(0.81), 46(0.93), 48(0.98), 51(0.86), 52(0.85), 55(0.97), 56(0.92), 58(0.84), 60(0.88), 62(0.81), 64(0.86), 66(0.89), 69(0.9), 71(0.86), 72(0.84), 75(0.8)
T2304: 1(0.87), 3(0.88), 5(0.91), 7(0.9), 9(0.84), 11(0.93), 13(0.85), 15(0.9), 17(0.89), 19(0.97), 21(0.82), 23(0.99), 25(0.87), 27(0.95), 29(0.99), 31(0.89), 34(0.94), 36(0.92), 39(0.81), 40(0.9), 42(0.85), 45(0.97), 46(0.89), 48(0.88), 51(0.98), 52(1.0), 55(0.91), 57(0.83), 58(0.99), 60(0.93), 62(0.84), 64(0.84), 66(0.86), 69(0.9), 71(0.82), 72(0.91), 75(0.99)
T2305: 1(0.83), 3(0.81), 5(0.97), 7(0.86), 9(0.93), 12(0.96), 13(0.89), 15(0.86), 17(0.92), 19(0.86), 21(0.86), 23(0.95), 25(0.95), 27(0.84), 29(0.86), 31(0.81), 34(0.98), 36(0.93), 39(0.96), 40(0.91), 42(0.93), 45(0.97), 46(0.8), 48(0.92), 51(0.94), 52(0.83), 55(0.96), 57(0.98), 58(0.99), 60(0.9), 62(0.97), 64(0.82), 66(0.84), 69(0.83), 71(0.89), 72(0.91), 75(0.82)
T2306: 1(0.82), 3(0.91), 5(1.0), 7(0.82), 9(0.93), 11(0.94), 13(0.94), 15(0.86), 17(0.99), 19(0.8), 21(0.84), 23(0.84), 25(0.95), 27(1.0), 29(0.99), 31(0.88), 34(0.92), 36(0.87), 39(0.88), 40(0.82), 42(0.83), 45(0.8), 46(0.89), 48(0.92), 51(0.83), 52(0.85), 55(0.93), 56(0.85), 58(0.89), 60(0.94), 63(0.89), 64(1.0), 66(0.93), 69(0.92), 71(0.86), 72(0.91), 75(0.85)
T2307: 1(0.97), 3(0.99), 5(0.85), 7(0.83), 9(0.87), 11(0.87), 13(0.81), 15(0.93), 17(0.95), 20(0.86), 21(0.86), 23(0.91), 25(0.9), 27(0.94), 29(0.84), 31(0.81), 34(0.94), 36(0.96), 39(0.98), 40(0.87), 42(0.98), 45(0.94), 47(0.81), 48(0.99), 51(0.95), 52(0.85), 55(0.9), 56(0.87), 58(0.91), 60(0.91), 62(0.91), 64(0.82), 66(0.85), 69(0.95), 70(0.97), 72(0.96), 75(0.8)
T2308: 1(0.93), 3(0.98), 6(0.92), 7(0.94), 9(0.92), 11(0.91), 13(0.85), 15(0.95), 17(0.96), 20(0.91), 21(0.95), 23(0.97), 25(0.82), 27(0.89), 29(0.9), 31(0.99), 34(0.82), 36(0.89), 39(0.94), 40(0.95), 42(0.83), 45(0.97), 47(0.82), 48(0.88), 51(0.96), 52(0.88), 55(0.83), 56(0.92), 58(0.91), 60(0.91), 62(0.91), 64(0.94), 66(0.81), 69(0.95), 71(0.84), 72(0.86), 75(0.95)
T2309: 1(0.88), 3(0.98), 6(0.82), 7(0.86), 9(0.93), 12(0.95), 13(0.89), 15(0.9), 17(0.96), 20(0.88), 21(0.85), 23(0.96), 25(0.81), 27(0.96), 29(0.84), 31(0.98), 35(0.86), 36(0.95), 39(0.93), 40(0.94), 42(0.88), 45(0.84), 47(0.92), 48(0.82), 51(0.92), 52(0.99), 55(0.98), 56(0.88), 58(0.88), 60(0.91), 62(0.94), 64(0.84), 66(0.81), 69(0.88), 71(0.89), 72(0.82), 75(0.87)
T2310: 1(0.82), 3(0.97), 6(0.83), 7(0.92), 9(0.81), 11(0.99), 13(0.85), 15(0.93), 17(0.81), 20(0.84), 21(0.9), 23(0.82), 25(0.82), 27(0.87), 29(0.89), 31(0.9), 34(0.98), 36(0.91), 39(0.97), 40(0.89), 42(0.85), 45(0.92), 47(0.8), 48(0.89), 51(0.97), 52(0.87), 55(0.98), 56(0.81), 58(0.95), 60(0.81), 63(0.89), 64(0.9), 66(0.9), 69(0.84), 71(1.0), 72(0.95), 75(0.86)
T2311: 1(0.93), 3(0.96), 6(0.85), 7(0.86), 9(0.94), 11(0.98), 13(0.83), 15(0.92), 17(0.9), 20(0.97), 21(0.87), 23(0.94), 25(0.96), 27(0.83), 29(0.86), 31(0.89), 35(0.93), 36(0.88), 39(0.82), 40(0.86), 42(0.91), 45(0.99), 47(0.94), 48(0.88), 51(0.83), 52(0.84), 55(0.86), 56(0.91), 58(1.0), 60(0.97), 63(0.87), 64(0.83), 66(0.88), 69(0.98), 71(0.82), 72(0.96), 75(0.91)
T2312: 1(0.86), 3(0.88), 5(0.97), 7(0.86), 9(0.99), 11(0.9), 13(0.95), 15(0.92), 17(0.83), 20(0.93), 21(0.93), 23(0.93), 25(0.88), 27(0.88), 29(0.8), 31(0.88), 34(0.86), 36(0.97), 39(0.88), 40(0.97), 42(0.88), 45(0.87), 47(0.87), 48(0.83), 51(0.94), 52(0.82), 55(0.81), 56(0.89), 58(0.81), 60(0.81), 62(0.96), 64(0.87), 66(0.95), 68(0.98), 70(0.94), 72(0.94), 75(0.92)
T2313: 1(0.92), 3(0.84), 6(0.8), 7(0.96), 9(0.86), 11(0.86), 13(0.83), 15(0.86), 17(0.98), 19(0.85), 21(0.97), 23(0.82), 25(0.81), 27(0.83), 29(0.89), 31(0.85), 34(0.89), 36(0.9), 39(0.84), 40(0.91), 42(0.94), 45(0.9), 46(0.93), 48(0.84), 50(0.84), 52(0.89), 55(0.95), 56(0.89), 58(0.99), 60(0.84), 62(1.0), 64(0.9), 66(0.86), 69(0.89), 70(0.92), 72(0.81), 75(0.93)
T2314: 1(0.84), 3(0.98), 5(0.88), 7(0.84), 9(1.0), 12(0.81), 13(0.9), 15(0.94), 17(0.96), 19(0.91), 21(0.99), 23(0.82), 25(0.99), 27(0.92), 29(0.97), 31(0.82), 34(0.81), 36(0.96), 39(0.91), 40(0.94), 42(0.83), 45(0.98), 46(0.81), 48(0.88), 50(0.87), 52(0.85), 55(0.87), 56(0.83), 58(0.84), 60(0.92), 62(0.86), 64(0.81), 66(0.87), 69(0.9), 71(0.97), 72(0.83), 75(0.98)
T2315: 1(0.84), 3(0.95), 5(0.9), 7(0.99), 9(0.83), 12(0.86), 13(0.97), 15(0.91), 17(0.94), 19(0.84), 21(0.8), 23(0.85), 25(0.91), 27(0.83), 29(0.81), 31(0.93), 34(0.87), 36(0.9), 39(0.88), 40(0.89), 42(0.82), 45(0.86), 46(0.95), 48(0.82), 50(0.99), 52(0.85), 55(0.93), 57(0.86), 58(0.85), 60(0.93), 62(0.98), 64(0.81), 66(0.83), 69(0.9), 71(0.91), 72(0.86), 75(0.82)
T2316: 1(0.82), 3(0.89), 5(0.92), 7(0.87), 9(0.81), 11(0.97), 13(0.82), 15(0.83), 17(0.88), 19(0.85), 21(0.81), 23(0.99), 25(0.94), 27(0.84), 29(0.87), 31(0.97), 34(0.94), 36(0.81), 39(0.84), 40(0.87), 42(0.94), 45(0.82), 46(0.89), 48(0.84), 50(0.94), 52(0.9), 55(0.88), 56(0.95), 58(0.87), 60(0.97), 63(0.95), 64(0.92), 66(0.99), 69(0.87), 71(0.91), 72(0.88), 75(0.98)
T2317: 1(0.96), 3(0.96), 5(0.97), 7(0.81), 9(0.91), 11(0.86), 13(0.82), 15(0.82), 17(0.9), 19(0.88), 21(0.94), 23(0.82), 25(0.87), 27(0.85), 29(0.92), 31(0.98), 34(0.82), 36(0.82), 39(0.93), 40(0.95), 42(0.91), 45(0.87), 46(0.82), 48(0.91), 50(0.83), 52(0.96), 55(0.9), 57(0.9), 58(0.95), 60(0.86), 63(0.98), 64(0.94), 66(0.81), 69(0.89), 71(0.84), 72(0.86), 75(0.85)
T2318: 1(0.98), 3(0.86), 5(0.93), 7(0.9), 9(0.82), 12(0.84), 13(0.85), 15(0.98), 17(0.93), 19(0.81), 21(0.82), 23(0.93), 25(0.84), 27(0.9), 29(0.93), 31(0.88), 34(0.88), 36(0.86), 39(0.83), 40(0.82), 42(0.8), 45(0.98), 46(0.93), 48(0.87), 50(0.9), 52(0.81), 55(0.88), 56(0.91), 58(0.84), 60(0.82), 63(0.83), 64(0.98), 66(0.91), 69(0.98), 71(0.96), 72(0.99), 75(0.92)
T2319: 1(0.87), 3(0.97), 5(0.84), 7(0.81), 9(0.91), 12(0.84), 13(0.95), 15(0.97), 17(0.88), 19(0.98), 21(0.82), 23(0.84), 25(0.85), 27(0.86), 29(0.81), 31(0.98), 34(0.84), 36(0.83), 39(0.98), 40(0.99), 42(0.96), 45(0.94), 46(0.94), 48(0.95), 50(0.89), 52(0.83), 55(0.92), 57(0.95), 58(0.83), 60(0.84), 63(0.94), 64(0.94), 66(0.84), 69(0.97), 71(0.92), 72(0.81), 75(0.89)
T2320: 1(0.93), 3(0.9), 5(0.89), 7(0.93), 9(0.88), 11(0.83), 13(0.98), 15(0.96), 17(0.95), 20(0.85), 21(0.98), 23(0.83), 25(0.88), 27(0.92), 29(0.94), 31(0.9), 34(0.9), 36(0.9), 39(0.98), 40(0.89), 42(0.83), 45(0.91), 47(0.95), 48(0.85), 50(0.85), 52(0.83), 55(0.82), 56(0.9), 58(0.99), 60(0.94), 62(0.81), 64(0.99), 66(0.98), 69(0.83), 70(0.95), 72(0.92), 75(0.87)
T2321: 1(0.82), 3(0.95), 6(0.82), 7(0.93), 9(0.99), 11(0.95), 13(0.87), 15(0.94), 17(1.0), 20(0.81), 21(0.99), 23(0.98), 25(0.98), 27(0.87), 29(0.85), 31(0.9), 34(0.83), 36(0.91), 39(0.86), 40(0.97), 42(0.89), 45(0.94), 47(0.83), 48(0.86), 50(0.89), 52(0.96), 55(0.94), 56(0.94), 58(0.95), 60(0.96), 62(0.84), 64(0.97), 66(0.92), 69(0.93), 71(0.86), 72(0.93), 75(0.83)
T2322: 1(0.81), 3(0.97), 6(0.85), 7(0.99), 9(0.97), 12(0.84), 13(0.99), 15(0.88), 17(0.98), 20(0.9), 21(0.93), 23(0.98), 25(0.92), 27(0.91), 29(0.98), 31(0.81), 34(0.91), 36(0.97), 39(0.83), 40(0.85), 42(0.89), 45(0.9), 47(0.97), 48(0.92), 50(0.82), 52(0.82), 55(0.98), 56(0.91), 58(0.87), 60(0.88), 62(0.83), 64(1.0), 66(0.83), 69(0.82), 71(0.82), 72(0.82), 75(0.82)
T2323: 1(0.94), 3(0.92), 6(0.96), 7(0.97), 9(0.88), 11(0.86), 13(0.97), 15(0.81), 17(0.95), 20(0.89), 21(0.81), 23(0.89), 25(0.86), 27(0.94), 29(0.91), 31(0.92), 34(0.91), 36(0.88), 39(0.92), 40(0.83), 42(0.87), 45(0.97), 47(0.96), 48(0.96), 50(0.9), 52(0.97), 55(0.84), 56(0.8), 58(0.82), 60(0.94), 63(0.85), 64(0.97), 66(0.83), 69(0.92), 71(0.87), 72(0.94), 75(0.96)
T2324: 1(0.97), 3(0.83), 6(0.83), 7(0.85), 9(0.92), 12(0.97), 13(0.89), 15(0.88), 17(0.96), 20(0.84), 21(1.0), 23(0.93), 25(0.91), 27(1.0), 29(0.84), 31(0.82), 34(0.92), 36(0.93), 39(0.89), 40(0.97), 42(0.9), 45(0.83), 47(0.94), 48(0.96), 50(0.83), 52(0.84), 55(0.85), 56(0.87), 58(0.81), 60(0.82), 63(0.94), 64(0.8), 66(0.8), 69(0.81), 71(0.97), 72(0.93), 75(0.82)
T2325: 1(0.95), 3(1.0), 5(0.97), 7(0.86), 9(0.95), 11(0.81), 13(0.97), 15(0.89), 17(0.84), 20(0.85), 21(0.81), 23(0.94), 25(0.81), 27(0.84), 29(0.98), 31(0.84), 34(0.85), 36(0.97), 39(0.97), 40(0.89), 42(0.98), 45(0.99), 47(0.9), 48(0.8), 50(0.89), 52(0.89), 55(0.82), 56(0.97), 58(0.99), 60(0.95), 62(0.86), 64(0.98), 66(0.94), 68(0.97), 70(0.99), 72(0.89), 75(0.88)
T2326: 1(0.81), 3(0.81), 5(0.93), 7(0.88), 9(0.87), 11(0.86), 14(0.82), 15(0.93), 17(0.9), 20(0.99), 21(0.85), 23(0.82), 25(0.91), 27(0.87), 29(0.81), 31(0.94), 34(0.94), 36(0.88), 38(0.84), 40(0.81), 42(0.96), 45(0.84), 47(0.92), 48(0.94), 51(0.87), 52(0.94), 55(0.88), 56(0.81), 58(1.0), 60(0.91), 62(0.94), 64(0.9), 66(0.81), 69(0.89), 70(0.87), 72(0.87), 75(0.82)
T2327: 1(0.9), 3(0.91), 6(0.88), 7(0.88), 9(0.85), 11(0.82), 14(0.84), 15(0.88), 17(0.85), 19(0.95), 21(0.98), 23(0.99), 25(0.91), 27(0.85), 29(0.95), 31(0.97), 35(0.92), 36(0.89), 38(0.88), 40(0.85), 42(0.87), 45(0.99), 46(0.95), 48(0.94), 50(0.86), 52(0.89), 55(0.85), 56(0.93), 58(0.92), 60(0.9), 62(0.98), 64(0.84), 66(0.82), 69(0.83), 70(0.88), 72(0.84), 75(0.91)
T2328: 1(0.8), 3(0.85), 5(0.95), 7(0.9), 9(0.95), 11(0.91), 14(0.89), 15(0.93), 17(1.0), 20(0.82), 21(0.93), 23(0.82), 25(0.96), 27(0.99), 29(0.8), 31(0.9), 34(0.82), 36(0.96), 38(1.0), 40(0.9), 42(0.9), 45(0.91), 47(0.9), 48(0.98), 50(0.84), 52(0.85), 55(0.95), 56(0.83), 58(0.8), 60(0.93), 62(0.88), 64(0.91), 66(0.81), 69(0.96), 70(0.87), 72(0.99), 75(0.81)
T2329: 1(0.9), 3(1.0), 5(0.85), 7(0.81), 9(0.97), 11(0.86), 14(0.83), 15(0.89), 17(0.91), 19(0.98), 21(0.98), 23(0.91), 25(0.94), 27(0.9), 29(0.9), 31(0.87), 34(0.86), 36(0.9), 39(0.96), 40(0.92), 42(0.93), 45(0.87), 46(1.0), 48(0.87), 51(0.89), 52(0.89), 55(1.0), 56(0.87), 58(0.82), 60(0.81), 62(0.82), 64(0.96), 66(0.94), 69(0.9), 71(0.95), 72(0.98), 75(0.96)
T2330: 1(0.9), 3(0.86), 5(0.92), 8(0.97), 9(0.82), 11(0.94), 14(0.93), 15(0.94), 17(0.85), 19(0.99), 21(0.99), 23(0.94), 25(0.94), 27(0.88), 29(0.98), 31(0.88), 34(0.9), 36(0.88), 39(0.94), 40(0.98), 42(0.84), 45(0.92), 46(0.99), 48(0.95), 51(0.81), 52(0.86), 55(0.89), 56(0.97), 58(0.91), 60(0.89), 62(0.93), 64(0.98), 66(0.98), 69(0.95), 71(0.86), 72(0.9), 75(0.86)
T2331: 1(0.97), 3(0.82), 5(0.93), 7(0.97), 10(0.82), 11(0.93), 14(0.81), 15(0.81), 17(0.83), 19(0.87), 21(0.83), 23(0.93), 25(0.97), 27(0.91), 29(0.93), 31(0.87), 34(0.91), 36(0.82), 39(0.88), 40(0.81), 42(0.85), 45(0.91), 46(0.82), 48(0.95), 51(0.85), 52(0.93), 55(0.91), 56(0.85), 58(0.98), 60(0.8), 62(0.85), 64(1.0), 66(0.89), 69(0.95), 71(0.89), 72(0.98), 75(0.85)
T2332: 1(0.87), 3(0.93), 5(0.99), 7(0.85), 9(1.0), 11(0.85), 14(0.97), 16(0.88), 17(0.96), 19(0.93), 21(0.86), 23(0.82), 25(0.98), 27(0.8), 29(0.97), 31(0.92), 34(0.85), 36(0.82), 39(0.97), 40(0.81), 42(0.81), 45(0.83), 46(0.88), 48(0.94), 51(0.92), 52(0.98), 55(0.94), 56(0.92), 58(0.99), 60(0.97), 62(0.98), 64(0.93), 66(0.81), 69(0.97), 71(0.89), 72(0.88), 75(0.86)
T2333: 1(0.91), 3(0.84), 5(0.83), 8(0.86), 9(0.97), 11(0.83), 14(0.9), 15(0.99), 17(0.95), 19(0.83), 21(0.97), 23(0.97), 25(0.88), 27(0.86), 29(0.99), 31(0.92), 34(0.84), 36(0.91), 39(0.82), 40(0.89), 42(0.93), 45(0.98), 46(0.89), 48(0.95), 51(0.84), 52(0.98), 55(0.86), 56(0.91), 58(0.95), 60(0.81), 62(0.82), 64(0.81), 66(0.83), 68(0.88), 71(0.94), 72(0.9), 75(0.86)
T2334: 1(0.81), 3(0.81), 5(0.91), 7(0.98), 10(0.95), 11(0.92), 14(0.91), 15(0.98), 17(0.87), 19(0.86), 21(0.97), 23(0.99), 25(0.85), 27(0.96), 29(0.94), 31(0.97), 34(0.95), 36(0.87), 39(0.97), 40(0.92), 42(0.97), 45(0.92), 46(0.86), 48(0.91), 51(0.93), 52(0.93), 55(0.97), 56(0.99), 58(0.86), 60(0.85), 62(0.9), 64(0.8), 66(0.91), 68(0.92), 71(0.99), 72(0.87), 75(0.94)
T2335: 1(0.95), 3(0.93), 5(0.95), 7(1.0), 9(0.85), 12(0.86), 14(0.83), 16(0.96), 17(0.85), 19(0.83), 21(0.96), 23(0.85), 25(0.9), 27(0.86), 29(0.88), 31(0.81), 34(0.93), 36(0.93), 39(0.96), 40(0.98), 42(0.83), 45(0.86), 46(0.97), 48(0.83), 51(0.87), 52(0.91), 55(0.81), 56(0.92), 58(0.8), 60(0.96), 62(0.96), 64(0.97), 66(0.9), 68(0.95), 71(0.85), 72(0.85), 75(0.87)
T2336: 1(0.88), 3(0.86), 6(0.95), 7(0.96), 9(0.81), 11(0.96), 14(0.94), 15(0.89), 17(0.95), 19(0.97), 21(0.95), 23(0.8), 25(0.87), 27(0.86), 29(0.89), 31(0.98), 34(0.97), 36(0.92), 39(0.92), 40(0.95), 42(0.8), 45(0.91), 46(0.89), 48(0.84), 50(0.82), 52(0.97), 55(0.97), 56(0.99), 58(0.87), 60(0.9), 62(0.99), 64(0.89), 66(0.81), 69(0.97), 70(0.83), 72(0.84), 75(0.81)
T2337: 1(0.92), 3(0.89), 5(0.9), 7(0.98), 10(0.96), 11(0.83), 14(0.99), 15(0.86), 17(0.95), 19(0.96), 21(0.93), 23(0.98), 25(0.93), 27(0.88), 29(0.86), 31(0.97), 34(0.92), 36(0.99), 39(0.85), 40(0.82), 42(0.97), 45(0.81), 46(0.89), 48(0.97), 50(0.89), 52(0.86), 55(0.82), 56(0.96), 58(0.98), 60(0.81), 62(0.9), 64(0.98), 66(0.8), 69(0.89), 71(0.92), 72(0.81), 75(0.83)
T2338: 1(0.92), 3(0.91), 5(0.86), 7(0.86), 9(0.87), 12(0.81), 14(0.97), 15(0.9), 17(0.99), 19(0.93), 21(0.99), 23(0.9), 25(0.83), 27(0.93), 29(0.96), 31(0.85), 34(0.97), 36(0.99), 39(0.89), 40(0.82), 42(0.86), 45(0.96), 46(0.86), 48(0.95), 50(0.92), 52(0.94), 55(0.98), 56(0.96), 58(1.0), 60(0.8), 62(0.85), 64(0.99), 66(0.99), 69(0.85), 71(0.89), 72(0.92), 75(0.89)
T2339: 1(0.99), 3(0.96), 5(0.98), 7(0.93), 10(0.9), 12(0.99), 14(0.82), 15(0.99), 17(0.84), 19(0.84), 21(0.99), 23(0.85), 25(0.94), 27(0.9), 29(0.9), 31(0.96), 34(0.97), 36(0.99), 39(0.92), 40(1.0), 42(0.85), 45(0.97), 46(0.94), 48(0.89), 50(0.83), 52(0.85), 55(0.86), 56(0.86), 58(0.95), 60(0.91), 62(0.96), 64(0.98), 66(0.89), 69(0.8), 71(1.0), 72(0.93), 75(0.95)
T2340: 1(0.87), 3(0.99), 5(0.85), 7(0.91), 10(0.89), 12(0.87), 14(0.95), 15(0.82), 17(0.82), 19(0.98), 21(0.87), 23(0.82), 25(0.9), 27(0.81), 29(1.0), 31(0.88), 34(0.83), 36(0.97), 39(0.91), 40(0.87), 42(0.81), 45(0.83), 46(0.81), 48(0.81), 50(0.95), 52(0.84), 55(0.96), 57(0.96), 58(0.82), 60(0.97), 62(0.97), 64(0.87), 66(0.92), 69(0.96), 71(0.85), 72(0.93), 75(0.91)
T2341: 1(0.84), 3(0.86), 5(0.99), 7(0.99), 9(0.88), 11(0.96), 14(0.87), 15(0.89), 17(0.9), 19(0.88), 21(0.81), 23(0.84), 25(0.91), 27(0.95), 29(0.88), 31(0.9), 34(0.86), 36(0.96), 39(0.91), 40(0.91), 42(0.93), 45(0.89), 46(0.99), 48(0.85), 50(0.99), 52(0.86), 55(0.97), 56(0.95), 58(0.84), 60(0.97), 63(1.0), 64(0.8), 66(0.98), 69(0.94), 71(0.95), 72(0.9), 75(0.96)
T2342: 1(0.91), 3(0.95), 5(0.85), 7(0.87), 10(0.81), 12(0.89), 14(0.83), 15(0.96), 17(0.98), 19(0.97), 21(0.86), 23(0.81), 25(0.83), 27(0.98), 29(0.82), 31(0.96), 34(0.88), 36(0.97), 39(0.92), 40(0.9), 42(0.88), 45(0.98), 46(0.83), 48(0.95), 50(0.91), 52(0.83), 55(0.99), 56(0.8), 58(0.82), 60(0.91), 63(0.81), 64(0.9), 66(0.97), 69(0.86), 71(0.99), 72(0.92), 75(0.98)
T2343: 1(0.97), 3(0.93), 5(0.93), 7(0.84), 9(0.98), 12(0.81), 14(0.96), 16(0.82), 17(0.87), 19(0.88), 21(0.81), 23(0.85), 25(0.89), 27(0.81), 29(0.84), 31(0.99), 34(0.83), 36(0.92), 39(0.84), 40(0.88), 42(0.97), 45(0.88), 46(0.82), 48(0.97), 50(0.93), 52(0.91), 55(0.8), 56(0.9), 58(0.82), 60(0.82), 63(0.93), 64(0.88), 66(0.91), 69(0.81), 71(0.94), 72(0.83), 75(0.87)
T2344: 1(0.99), 3(0.96), 5(0.82), 7(0.87), 10(0.85), 11(0.82), 14(0.82), 15(0.93), 17(0.86), 19(0.86), 21(0.99), 23(0.84), 25(0.88), 27(0.98), 29(0.88), 31(0.8), 34(0.98), 36(0.94), 39(0.92), 40(0.98), 42(0.88), 45(0.88), 46(0.89), 48(0.87), 50(0.95), 52(0.9), 55(0.82), 56(0.99), 58(0.95), 60(0.86), 62(0.85), 64(0.95), 66(1.0), 68(0.87), 71(0.84), 72(0.87), 75(0.82)
T2345: 1(0.91), 3(0.93), 5(0.96), 7(0.99), 10(0.91), 12(0.81), 14(0.86), 15(0.99), 17(0.92), 19(0.98), 21(0.83), 23(0.83), 25(0.92), 27(0.89), 29(0.83), 31(0.88), 34(0.82), 36(0.82), 39(0.96), 40(0.98), 42(0.99), 45(0.93), 46(0.86), 48(0.8), 50(0.96), 52(0.88), 55(0.84), 56(0.88), 58(0.88), 60(0.91), 62(0.92), 64(0.85), 66(0.98), 68(0.86), 71(0.82), 72(0.81), 75(0.99)
T2346: 1(0.95), 3(0.9), 5(0.93), 7(0.89), 9(0.88), 11(0.98), 14(0.85), 15(0.87), 17(0.96), 20(0.94), 21(0.84), 23(0.98), 25(0.92), 27(0.92), 29(0.84), 31(0.86), 34(0.93), 36(0.84), 39(0.91), 40(0.9), 42(0.82), 45(0.96), 47(0.89), 48(0.96), 50(0.83), 52(0.96), 55(0.86), 56(0.93), 58(0.97), 60(0.9), 62(0.98), 64(0.87), 66(0.9), 69(0.98), 70(0.96), 72(0.86), 75(0.95)
T2347: 1(0.83), 3(0.98), 6(0.83), 7(0.97), 9(0.9), 11(0.97), 14(0.88), 15(0.88), 17(0.8), 20(0.91), 21(0.83), 23(0.86), 25(0.92), 27(0.98), 29(0.82), 31(0.86), 34(0.96), 36(0.81), 39(0.94), 40(0.91), 42(0.87), 45(1.0), 47(0.97), 48(0.99), 50(0.94), 52(0.98), 55(0.86), 56(0.88), 58(0.9), 60(0.95), 62(0.8), 64(0.84), 66(0.99), 69(0.96), 71(0.91), 72(0.97), 75(0.83)
T2348: 1(0.92), 3(0.91), 6(0.84), 7(0.96), 10(0.89), 12(0.88), 14(0.99), 15(0.83), 17(0.97), 20(0.83), 21(0.97), 23(0.98), 25(0.88), 27(0.85), 29(0.84), 31(0.89), 34(0.98), 36(0.94), 39(0.83), 40(0.93), 42(1.0), 45(0.89), 47(0.96), 48(0.95), 50(0.95), 52(0.88), 55(0.8), 56(0.99), 58(0.97), 60(0.86), 62(0.88), 64(0.84), 66(0.8), 69(0.84), 71(0.97), 72(0.92), 75(0.86)
